                   0, 000,          x,          x, x,          x, x
               16010, 000, 2985255523,   91457290, 0,   23265794, 1
               16011, 000, 2985255523,   91457290, 0,   23265794, 0
               17000, 000, 3225100928,  274997536, 0,   23265794, 0
               17010, 000, 3225100928,  274997536, 0,    2105344, 0
               18000, 000, 1433945514, 3469528221, 0,    2105344, 0
               18010, 000, 1433945514, 3469528221, 0, 1145586824, 0
               18011, 000, 1433945514, 3469528221, 0, 1145586824, 1
               18015, 000, 1433945514, 3469528221, 0, 1145586824, 0
               19000, 000, 3407888022, 2307110931, 0, 1145586824, 0
               19010, 000, 3407888022, 2307110931, 0, 2298492946, 0
               19011, 000, 3407888022, 2307110931, 0, 2298492946, 1
               20000, 000, 2260482061, 2846348883, 0, 2298492946, 1
               20010, 000, 2260482061, 2846348883, 0, 2158235649, 1
               21000, 000,  899669355, 3936758485, 0, 2158235649, 1
               21007, 000,  899669355, 3936758485, 0, 2158235649, 0
               21010, 000,  899669355, 3936758485, 0,  545654849, 0
               21011, 000,  899669355, 3936758485, 0,  545654849, 1
               21015, 000,  899669355, 3936758485, 0,  545654849, 0
               22000, 000, 2165787138, 3612753582, 0,  545654849, 0
               22010, 000, 2165787138, 3612753582, 0, 2165705218, 0
               22015, 000, 2165787138, 3612753582, 0, 2165705218, 1
               23000, 000,  251652381, 3888476879, 0, 2165705218, 1
               23007, 000,  251652381, 3888476879, 0, 2165705218, 0
               23010, 000,  251652381, 3888476879, 0,  113598477, 0
               24000, 000,  293882147,   84501770, 0,  113598477, 0
               24010, 000,  293882147,   84501770, 0,   16793858, 0
               25000, 000, 3849521866, 2654030908, 0,   16793858, 0
               25010, 000, 3849521866, 2654030908, 0, 2217805832, 0
               25011, 000, 3849521866, 2654030908, 0, 2217805832, 1
               25023, 000, 3849521866, 2654030908, 0, 2217805832, 0
               26000, 000, 2036907506, 1160667530, 0, 2217805832, 0
               26010, 000, 2036907506, 1160667530, 0, 1093149058, 0
               26011, 000, 2036907506, 1160667530, 0, 1093149058, 1
               27000, 000,  549761857, 3964351704, 0, 1093149058, 1
               27007, 000,  549761857, 3964351704, 0, 1093149058, 0
               27010, 000,  549761857, 3964351704, 0,  541077568, 0
               27015, 000,  549761857, 3964351704, 0,  541077568, 1
               27019, 000,  549761857, 3964351704, 0,  541077568, 0
               28000, 000, 1008792440, 3297383049, 0,  541077568, 0
               28010, 000, 1008792440, 3297383049, 0,   67113480, 0
               28015, 000, 1008792440, 3297383049, 0,   67113480, 1
               28023, 000, 1008792440, 3297383049, 0,   67113480, 0
               29000, 000, 1975848427, 1526883766, 0,   67113480, 0
               29010, 000, 1975848427, 1526883766, 0, 1358955938, 0
               29011, 000, 1975848427, 1526883766, 0, 1358955938, 1
               30000, 000, 1665923526, 1460999086, 0, 1358955938, 1
               30010, 000, 1665923526, 1460999086, 0, 1124143494, 1
               31000, 000, 3732210364,  353361194, 0, 1124143494, 1
               31007, 000, 3732210364,  353361194, 0, 1124143494, 0
               31010, 000, 3732210364,  353361194, 0,  335872040, 0
               31011, 000, 3732210364,  353361194, 0,  335872040, 1
               31015, 000, 3732210364,  353361194, 0,  335872040, 0
               32000, 000, 2245499403, 3096952433, 0,  335872040, 0
               32010, 000, 2245499403, 3096952433, 0, 2157419009, 0
               32011, 000, 2245499403, 3096952433, 0, 2157419009, 1
               33000, 000, 1123172741,  670192975, 0, 2157419009, 1
               33007, 000, 1123172741,  670192975, 0, 2157419009, 0
               33010, 000, 1123172741,  670192975, 0,   49430789, 0
               34000, 000, 2647416891,  486945594, 0,   49430789, 0
