                   0, 000,          x,          x, x,          x, x
                 223, 000, 1837860827, 1397913510, 0, 1090652034, 1
                 224, 000, 1569051579, 2155445248, 0,      86016, 0
                 225, 000, 2279885839, 3035158121, 0, 2229289993, 1
                 226, 000, 2253611532,  749214041, 0,   67108872, 0
                 227, 000, 1660766661, 1742157263, 0, 1658126789, 1
                 228, 000, 1211753872, 2833569873, 0,  136364048, 0
                 229, 000, 3036259433,  998493559, 0,  813794401, 0
                 230, 000,  623076682, 3963050200, 0,  606289992, 0
                 231, 000, 1306348955, 3792607940, 0, 1074530432, 0
                 232, 000, 1551413688, 3689345719, 0, 1482731696, 0
                 233, 000, 3279482502, 2555206192, 0, 2152221184, 1
                 234, 000, 1005409143, 1524025269, 0,  449069877, 1
                 235, 000, 1779824084,   59213575, 0,   33916164, 0
                 236, 000,  990615414, 1956752873, 0,  805406048, 1
                 237, 000, 1172474763,   15884033, 0,   14813953, 0
                 238, 000, 1837140955, 3228975744, 0, 1073742464, 0
                 239, 000, 1629331394, 3807173317, 0, 1611438784, 0
                 240, 000, 2552756784, 3618825391, 0, 2418204704, 1
                 241, 000, 3003308646, 1476114863, 0,  318937126, 0
                 242, 000, 4107824873, 2084679672, 0, 1950363368, 0
                 243, 000, 2205592582, 4152719087, 0, 2198086662, 1
                 244, 000, 1894725601, 3400826005, 0, 1084503169, 0
                 245, 000, 4151459566,  810437984, 0,  809634912, 0
                 246, 000, 4070334181, 2485185064, 0, 2415938080, 0
                 247, 000,  841973092,  347354921, 0,  270808352, 0
                 248, 000, 4042174177, 3149681271, 0, 2964062817, 0
                 249, 000,  924128622, 1084945793, 0,       5376, 0
                 250, 000, 1788852693,  876074344, 0,  538415424, 1
                 251, 000, 2019717616, 3581411498, 0, 1348468896, 0
                 252, 000,  127910671, 4175186161, 0,   10240001, 0
                 253, 000, 3197877373, 1194235278, 0,  101356556, 0
                 254, 000, 4049722594,  510020924, 0,  274746400, 0
                 255, 000, 3568690857, 2011935215, 0, 1419878569, 0
                 256, 000, 2917650523, 3617733807, 0, 2241990667, 0
                 257, 000,  620927818, 1557269945, 0,   67242248, 1
                 258, 000,  160312595,  164115731, 0,  159917331, 0
                 259, 000,  853295461,  684074833, 0,  549716289, 0
                 260, 000, 3684186807, 3432517785, 0, 3365408913, 0
                 261, 000, 2635204666, 3102358129, 0, 2550270000, 1
                 262, 000,  830211938, 4063587044, 0,  808714848, 0
                 263, 000,  353623338, 3201975421, 0,  336741416, 0
                 264, 000,  753819481, 1925424101, 0,  549585729, 1
                 265, 000, 1994288109, 3836215497, 0, 1686634697, 0
                 266, 000, 2695810113, 1472319919, 0,    8437761, 0
                 267, 000, 3987152091, 3868649677, 0, 3833989321, 0
                 268, 000,  940810096, 2200359942, 0,     168960, 0
                 269, 000, 3511165090, 1587035581, 0, 1342709920, 0
                 270, 000, 3042303594, 1849509852, 0,  605374024, 0
                 271, 000, 2825674320, 3179738235, 0, 2818856016, 1
                 272, 000, 2459785253, 3158279288, 0, 2417819680, 1
                 273, 000, 2071693814, 2921582172, 0,  706971732, 0
